Timestamp,In which data science application area are you most interested?,How many languages do you speak?,"How many siblings do you have? (Enter the number, e.g., ""1"" not ""one"")",What is your age range?,How many times have you eaten sushi in the last 30 days? Again write the number instead of the word.
2026/08/19 3:21:30 PM AST,Health,2,0,20-24,1
2026/08/19 3:21:30 PM AST,Other,2,0,20-24,0
2026/08/19 3:21:38 PM AST,Not sure yet,2,2,25-29,2
2026/08/19 3:21:40 PM AST,Not sure yet,2,1,20-24,0
2026/08/19 3:21:41 PM AST,Health,3,2,25-29,1
2026/08/19 3:21:57 PM AST,Not sure yet,2,2,25-29,0
2026/08/19 3:22:01 PM AST,Not sure yet,3,0,20-24,2
2026/08/19 3:22:10 PM AST,Policy,2,0,20-24,3
2026/08/19 3:22:11 PM AST,Policy,2,1,20-24,33
2026/08/19 3:22:13 PM AST,Climate/energy,4,2,20-24,0
2026/08/19 3:22:21 PM AST,Other,2,5,25-29,2
2026/08/19 3:22:23 PM AST,Policy,1,1,20-24,1
2026/08/19 3:22:24 PM AST,Health,4,0,25-29,3
2026/08/19 3:22:26 PM AST,Health,3,0,25-29,3
2026/08/19 3:22:27 PM AST,Other,4,one,25-29,2
2026/08/19 3:22:43 PM AST,Not sure yet,2,4,20-24,1
2026/08/19 3:23:02 PM AST,Not sure yet,2,1,20-24,2
2026/08/19 3:23:05 PM AST,Not sure yet,4,2,20-24,0
2026/08/19 3:23:18 PM AST,Policy,2,2,20-24,0
2026/08/19 3:23:23 PM AST,Health,2,3,20-24,1
2026/08/19 3:23:26 PM AST,Health,3,1,20-24,2
2026/08/19 3:24:06 PM AST,Health,2,4,25-29,0
2026/08/19 3:24:12 PM AST,Health,2,0,20-24,1
2026/08/19 3:27:38 PM AST,Health,3,0,20-24,0
2026/08/19 3:32:28 PM AST,Not sure yet,2,0,20-24,0
