"Date","rented_bikes","temp_c","humidity_pct","wind_speed","snowfall_cm","season","holiday"
"1/1/18",4290,-1.28333333333333,39.3333333333333,1.45416666666667,0,"Winter","Holiday"
"1/10/18",27909,15.4375,54.25,2.825,0,"Autumn","No Holiday"
"1/11/18",22964,8.34583333333333,54.1666666666667,1.27083333333333,0,"Autumn","No Holiday"
"1/12/17",9539,-2.45416666666667,45.875,1.5375,0,"Winter","No Holiday"
"1/2/18",5377,-3.86666666666667,44,1.60833333333333,0.904166666666667,"Winter","No Holiday"
"1/3/18",5132,0.45,64.2083333333333,3.55416666666667,0,"Spring","Holiday"
"1/4/18",17388,15.1833333333333,68.9166666666667,1.57083333333333,0,"Spring","No Holiday"
"1/5/18",26820,20.3416666666667,72.7916666666667,1.4375,0,"Spring","Holiday"
"1/6/18",31928,23.7083333333333,50.125,1.95416666666667,0,"Summer","No Holiday"
"1/7/18",3231,22.025,93.4583333333333,0.783333333333333,0,"Summer","No Holiday"
"1/8/18",20712,33.4291666666667,55.7916666666667,1.68333333333333,0,"Summer","No Holiday"
"1/9/18",26010,25.4541666666667,61.2083333333333,1.20833333333333,0,"Autumn","No Holiday"
"10/1/18",4161,-7.03333333333333,54.2083333333333,2.93333333333333,0.425,"Winter","No Holiday"
"10/10/18",24410,12.8125,61.2916666666667,2.39166666666667,0,"Autumn","No Holiday"
"10/11/18",18473,12.1083333333333,69.2083333333333,1.30416666666667,0,"Autumn","No Holiday"
"10/12/17",3453,1.19166666666667,69.7083333333333,2.00416666666667,1.35416666666667,"Winter","No Holiday"
"10/2/18",4425,0.120833333333333,49.75,3.06666666666667,0,"Winter","No Holiday"
"10/3/18",11064,4.35416666666667,65.0416666666667,1.95,0,"Spring","No Holiday"
"10/4/18",16696,14.6541666666667,46.9583333333333,3.43333333333333,0,"Spring","No Holiday"
"10/5/18",0,15.4708333333333,65.8333333333333,2.25416666666667,0,"Spring","No Holiday"
"10/6/18",29342,21.3041666666667,60.125,1.37916666666667,0,"Summer","No Holiday"
"10/7/18",20641,23.3416666666667,87.1666666666667,0.6625,0,"Summer","No Holiday"
"10/8/18",23833,30.5791666666667,61.6666666666667,1.3125,0,"Summer","No Holiday"
"10/9/18",30781,22.9458333333333,50.0833333333333,1.5625,0,"Autumn","No Holiday"
"11/1/18",4017,-10.7666666666667,49.875,2.6375,0,"Winter","No Holiday"
"11/10/18",24526,9.68333333333333,50.25,2.20416666666667,0,"Autumn","No Holiday"
"11/11/18",13138,8.39583333333333,69.7083333333333,1.025,0,"Autumn","No Holiday"
"11/12/17",5848,-6.26666666666667,39.375,3.60833333333333,0,"Winter","No Holiday"
"11/2/18",2850,-5.9875,40.5416666666667,2.7,0,"Winter","No Holiday"
"11/3/18",11843,6.6125,53.3333333333333,1.94166666666667,0,"Spring","No Holiday"
"11/4/18",0,12.8666666666667,53.375,3.00833333333333,0,"Spring","No Holiday"
"11/5/18",26649,15.8125,63.5,1.7125,0,"Spring","No Holiday"
"11/6/18",24832,20.5583333333333,63.375,1.42083333333333,0,"Summer","No Holiday"
"11/7/18",24135,26.6208333333333,84,1.3125,0,"Summer","No Holiday"
"11/8/18",20009,31.0833333333333,55.0833333333333,1.60833333333333,0,"Summer","No Holiday"
"11/9/18",31694,21.5666666666667,47.9583333333333,1.475,0,"Autumn","No Holiday"
"12/1/18",4111,-10.6958333333333,36.1666666666667,1.76666666666667,0,"Winter","No Holiday"
"12/10/18",26237,10.8125,53.25,1.24166666666667,0,"Autumn","No Holiday"
"12/11/18",21003,8.03333333333333,53.375,1.19583333333333,0,"Autumn","No Holiday"
"12/12/17",5496,-9.46666666666667,42.7916666666667,2.03333333333333,0,"Winter","No Holiday"
"12/2/18",4813,-5.9875,39.7083333333333,2.775,0,"Winter","No Holiday"
"12/3/18",13339,7.7875,44.4583333333333,1.4,0,"Spring","No Holiday"
"12/4/18",22729,13.0291666666667,32.4166666666667,2.575,0,"Spring","No Holiday"
"12/5/18",3034,14.2208333333333,85.2083333333333,0.983333333333333,0,"Spring","No Holiday"
"12/6/18",34544,21.1791666666667,66.25,1.6625,0,"Summer","No Holiday"
"12/7/18",29428,26.775,81.4166666666667,1.5375,0,"Summer","No Holiday"
"12/8/18",17498,30.6916666666667,59.625,1.50416666666667,0,"Summer","No Holiday"
"12/9/18",31809,22.5291666666667,51.9166666666667,1.32083333333333,0,"Autumn","No Holiday"
"13/01/2018",3503,-4.55833333333333,63.7916666666667,0.845833333333333,0.0916666666666667,"Winter","No Holiday"
"13/02/2018",6267,-1.33333333333333,53.8333333333333,2.64166666666667,0,"Winter","No Holiday"
"13/03/2018",15963,11.65,59.25,1.725,0,"Spring","No Holiday"
"13/04/2018",23240,14.2916666666667,22.25,1.4,0,"Spring","No Holiday"
"13/05/2018",25913,15.95,83.625,1.80833333333333,0,"Spring","No Holiday"
"13/06/2018",36149,21.975,63.7083333333333,1.45833333333333,0,"Summer","No Holiday"
"13/07/2018",30088,27.1666666666667,75.8333333333333,1.85416666666667,0,"Summer","No Holiday"
"13/08/2018",22827,30.2708333333333,69.375,1.425,0,"Summer","No Holiday"
"13/09/2018",30991,23.4416666666667,62.2916666666667,1.225,0,"Autumn","No Holiday"
"13/10/2018",25542,12.3958333333333,55.6666666666667,1.04583333333333,0,"Autumn","No Holiday"
"13/11/2018",21992,8.7625,52.9583333333333,0.979166666666667,0,"Autumn","No Holiday"
"13/12/2017",6019,-8.61666666666667,41.1666666666667,1.7875,0,"Winter","No Holiday"
"14/01/2018",4225,0.0208333333333333,65.75,1.0625,0,"Winter","No Holiday"
"14/02/2018",6771,3.59583333333333,53.7916666666667,2.42916666666667,0,"Winter","No Holiday"
"14/03/2018",19180,16.775,60.0416666666667,2.2625,0,"Spring","No Holiday"
"14/04/2018",6980,9.5875,75.1666666666667,1.82916666666667,0,"Spring","No Holiday"
"14/05/2018",27793,17.7416666666667,72.4166666666667,1.39166666666667,0,"Spring","No Holiday"
"14/06/2018",23818,21.6541666666667,74.375,1.10833333333333,0,"Summer","No Holiday"
"14/07/2018",25814,27.9125,70.1666666666667,1.82916666666667,0,"Summer","No Holiday"
"14/08/2018",23836,31.5,58.7083333333333,1.39166666666667,0,"Summer","No Holiday"
"14/09/2018",28199,23.4625,67.2083333333333,1.30416666666667,0,"Autumn","No Holiday"
"14/10/2018",24349,12.9958333333333,58,1.375,0,"Autumn","No Holiday"
"14/11/2018",22707,9.69583333333333,55.625,1.12083333333333,0,"Autumn","No Holiday"
